sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
1,CENTRICITY SECURITIES PRIVATE LIMITED,INZ000323234,90456,3323,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3323&h_MemType=members&memName=CENTRICITY%20SECURITIES%20PRIVATE%20LIMITED
2,PLOUTOS QUANT RESEARCH CAPITAL PRIVATE LIMITED,INZ000295333,90210,3087,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3087&h_MemType=members&memName=PLOUTOS%20QUANT%20RESEARCH%20CAPITAL%20PRIVATE%20LIMITED
3,HINDUSTAN TECHNOSOL PRIVATE LIMITED,INZ000092238,90339,3210,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3210&h_MemType=members&memName=HINDUSTAN%20TECHNOSOL%20PRIVATE%20LIMITED
4,OYSTER FINCAP PRIVATE LIMITED,INZ000237237,14149,2535,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2535&h_MemType=members&memName=OYSTER%20FINCAP%20PRIVATE%20LIMITED
5,JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,13934,2429,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2429&h_MemType=members&memName=JAMBUWALA%20COMMODITIES%20PRIVATE%20LIMITED
6,ALLWIN SECURITIES LIMITED,INZ000239635,12335,2801,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2801&h_MemType=members&memName=ALLWIN%20SECURITIES%20LIMITED
7,QI BROKERAGE LLP,INZ000299350,90230,3107,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3107&h_MemType=members&memName=QI%20BROKERAGE%20LLP
8,MLB STOCK BROKING PRIVATE LIMITED,INZ000305131,90252,3128,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3128&h_MemType=members&memName=MLB%20STOCK%20BROKING%20PRIVATE%20LIMITED
9,VERIQUS PARTNERS PRIVATE LIMITED,INZ000329631,90471,3337,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3337&h_MemType=members&memName=VERIQUS%20PARTNERS%20PRIVATE%20LIMITED
10,NU INVESTORS TECHNOLOGIES PRIVATE LIMITED,INZ000304837,90251,3127,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3127&h_MemType=members&memName=NU%20INVESTORS%20TECHNOLOGIES%20PRIVATE%20LIMITED
