sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
1,123 CAPITALS,INZ000209921,90001,2874,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2874&h_MemType=members&memName=123%20CAPITALS
2,24CARAT CAPITAL MARKETS PRIVATE LIMITED,,90474,3340,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3340&h_MemType=members&memName=24CARAT%20CAPITAL%20MARKETS%20PRIVATE%20LIMITED
3,360 ONE DISTRIBUTION SERVICES LIMITED,INZ000296339,90070,2940,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2940&h_MemType=members&memName=360%20ONE%20DISTRIBUTION%20SERVICES%20LIMITED
4,4A SECURITIES LIMITED,INZ000246535,14560,2825,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2825&h_MemType=members&memName=4A%20SECURITIES%20LIMITED
5,5PAISA CAPITAL LIMITED,INZ000010231,14300,2556,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2556&h_MemType=members&memName=5PAISA%20CAPITAL%20LIMITED
6,9 CAPITAL CONSULTANTS LLP,INZ000308458,90281,3151,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3151&h_MemType=members&memName=9%20CAPITAL%20CONSULTANTS%20LLP
7,A . G. SHARES & SECURITIES LTD.,INZ000169733,8257,622,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=622&h_MemType=members&memName=A%20.%20G.%20SHARES%20%26%20SECURITIES%20LTD.
8,A C AGARWAL SHARE BROKERS PVT LTD,INZ000216930,13264,2280,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2280&h_MemType=members&memName=A%20C%20AGARWAL%20SHARE%20BROKERS%20PVT%20LTD
9,A C CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,9929,1862,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1862&h_MemType=members&memName=A%20C%20CHOKSI%20SHARE%20BROKERS%20PVT.%20LTD.
10,A J CAPITAL LIMITED,,,2870,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2870&h_MemType=members&memName=A%20J%20CAPITAL%20LIMITED
11,A K EQUITIES PVT LTD,INZ000239939,90035,2914,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2914&h_MemType=members&memName=A%20K%20EQUITIES%20PVT%20LTD
12,A SWAMINATHAN,INZ000173014,90139,3015,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3015&h_MemType=members&memName=A%20SWAMINATHAN
13,A SWAMINATHAN,INZ000173014,90139,3015,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3015&h_MemType=members&memName=A%20SWAMINATHAN
14,A&G STOCK BROKING & CO,INZ000305026,90257,3133,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3133&h_MemType=members&memName=A%26G%20STOCK%20BROKING%20%26%20CO
15,A.K.STOCKMART PVT. LTD,INZ000240830,12695,2033,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2033&h_MemType=members&memName=A.K.STOCKMART%20PVT.%20LTD
16,A.N. SECURITIES,INZ000292027,14282,2539,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2539&h_MemType=members&memName=A.N.%20SECURITIES
17,A.P.T RESEARCH PRIVATE LIMITED,INZ000194330,13871,2515,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2515&h_MemType=members&memName=A.P.T%20RESEARCH%20PRIVATE%20LIMITED
18,AARITYA BROKING PRIVATE LIMITED,INZ000317632,90375,3247,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3247&h_MemType=members&memName=AARITYA%20BROKING%20PRIVATE%20LIMITED
19,AARNIK SECURITIES PVT. LTD.,INZ000291038,11095,1666,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1666&h_MemType=members&memName=AARNIK%20SECURITIES%20PVT.%20LTD.
20,AASHI BROKING PRIVATE LIMITED,INZ000322639,90406,3277,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3277&h_MemType=members&memName=AASHI%20BROKING%20PRIVATE%20LIMITED
21,AASHVIK SECURITIES PRIVATE LIMITED,INZ000318434,90162,3039,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3039&h_MemType=members&memName=AASHVIK%20SECURITIES%20PRIVATE%20LIMITED
22,ABANS BROKING SERVICES PRIVATE LIMITED,INZ000032733,90173,3050,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3050&h_MemType=members&memName=ABANS%20BROKING%20SERVICES%20PRIVATE%20LIMITED
23,ABANS SECURITIES PRIVATE LIMITED,INZ000194431,13494,2206,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2206&h_MemType=members&memName=ABANS%20SECURITIES%20PRIVATE%20LIMITED
24,ABHIK FINANCE PRIVATE LIMITED,INZ000294339,11204,1692,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1692&h_MemType=members&memName=ABHIK%20FINANCE%20PRIVATE%20LIMITED
25,ABHINANDAN STOCK BROKING PVT. LTD.,INZ000202134,14336,2725,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2725&h_MemType=members&memName=ABHINANDAN%20STOCK%20BROKING%20PVT.%20LTD.
26,ABHIPRA CAPITAL LTD.,INZ000285230,8150,623,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=623&h_MemType=members&memName=ABHIPRA%20CAPITAL%20LTD.
